0,1,2,3,4,5,6
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
L,,,,,,0
R,,,,,,0
L,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,A,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,CHOSE,0
R,,,,,,0
R,,,,,Lal,0
R,,,,,CHOSE,0
R,,,,,CHOSE,0
R,,,,,,0
R,,,,,,0
L,,,4,HANDSCOMB,,0
L,6,0,4,,ee,0
L,,,4,,ee,0
R,,,,,,0
R,,,,,,0
L,,,,een,ae,0
L,,,,HANDSCOMB,DUNK,2
L,,,,rAUM,,0
L,,,,,NCR,0
R,,,,,,0
L,,,,,,0
L,9,0,,,,0
L,9,0,,,DUNK,2
L,,,,,,0
L,,,,,,0
L,9,0,,HANDSCOMB,,0
L,,,,,,0
L,,,,eee,,0
L,,,,,,0
L,,,,eee,,0
L,,,,,,0
L,10,0,,,,0
L,,,,,DUNK,2
L,,,,HANDSCOMB,DUNK,2
R,,,,,,0
R,,,,,,0
R,,,,,,0
L,,,,RUN,,0
L,,,,nee,,0
L,,,,HANDSCOMB,DUNK,2
R,,,,,,0
L,,,,,DUNK,2
L,,,,,ae,0
L,16,0,,nee,,0
L,,,,,DUNK,2
R,,,,,,0
L,,,,,,0
L,,,,eee,DUNK,2
L,,,,,DUNK,2
R,,,,,oe,0
R,,,,,,0
R,,,4,,,0
R,,,,ttl,ee,0
L,,,,,,0
L,,,,,,0
L,18,1,,,,0
L,18,1,,,,0
L,,,,,FOR,0
L,,,,tere,,0
R,,,,,,0
L,,,,,,0
L,,,,,,0
L,,,,,,0
L,,,,,,0
L,18,2,,aa,,0
L,,,,,,0
R,,,,,,0
L,,,,PQUINEY,,0
R,,,,,,0
R,,,,,,0
L,,,,,,0
L,,,,RUN,,0
L,,,,,AVG,0
L,20,2,,SCORE,FIRST,0
L,,,,ce,,0
L,21,2,,Re,,0
R,,,,,,0
L,,,,,,0
R,,,,,,0
L,25,2,,,,0
L,,,,ee,sae,0
R,28,2,27,QUINEY,MAXWELL,2
R,,,,,,0
L,37,2,45,,,0
R,,,,,,0
L,37,2,45,,,0
L,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
L,38,2,,,,0
L,,,,,,0
L,,,29,,,0
L,,,,,MAXWELL,2
L,,,4,QUINEY,,0
L,,,,MAXWELL,RUNS,0
R,,,,,,0
L,45,2,,ic,,0
L,,,,,,0
L,,,,PQUINEY,,0
L,,,,PQUINEY,,0
L,,,,,,0
L,,,,QUINEY,MAXWELL,2
L,48,2,,,MAXWELL,2
L,,,,,,0
L,,,,PQUINEY,,0
L,51,2,,,,0
R,,,,,,0
L,,,,,MAXWELL,2
L,,,,,MAXWELL,2
L,,,,,,0
L,,,,ARUN,rr,0
L,52,2,,PQUINEY,MAXWELL,0
L,52,2,,ae,,0
L,53,2,,,Le,0
L,,,,,,0
R,,,,,,0
R,,,,,,0
L,,,,,MAXWELL,2
R,,,,,,0
R,,,,,,0
R,,,,RUN,,0
L,,,,RUN,,0
L,,,,LYON,AVG,0
L,,,,PQUINEY,,0
L,61,2,,PQUINEY,,0
L,62,2,,,,0
L,,,,aa,,0
L,,,,LYON,,0
L,,,,QUINEY,,0
L,65,2,,PQUINEY,,0
L,66,2,,PQUINEY,,0
L,66,2,,aD,,0
L,,,,PQUINEY,,0
R,,,,,,0
R,,,,,AU,0
R,,,,,,0
L,,,,RUN,,0
L,,,,PQUINEY,,0
L,,,,PQUINEY,,0
L,,,,,,0
L,,,29,PQUINEY,,0
R,,,,,,0
L,76,2,,ee,,0
L,,,,,,0
L,76,2,,PQUINEY,,0
L,,,,inMio,,0
R,,,,QUINEY,,0
R,,,,iI,ey,0
R,,,,,tll,0
R,,,,,,0
L,82,2,,QUINEY,MAXWELL,2
L,,,,QUINEY,,0
L,,,,QUINEY,,0
L,86,2,,QUINEY,,0
L,86,2,,,,0
R,,,,,,0
L,,,,QUINEY,ae,0
L,86,2,,Ul,,0
L,86,2,,QUINEY,MAXWELL,2
