0,1,2,3,4,5
,,,,,0
,,,,,0
,,4,HANDSCOMB,,0
6,0,4,,ee,0
,,4,,ee,0
,,,een,ae,0
,,,HANDSCOMB,DUNK,2
,,,rAUM,,0
,,,,NCR,0
,,,,,0
9,0,,,,0
9,0,,,DUNK,2
,,,,,0
,,,,,0
9,0,,HANDSCOMB,,0
,,,,,0
,,,eee,,0
,,,,,0
,,,eee,,0
,,,,,0
10,0,,,,0
,,,,DUNK,2
,,,HANDSCOMB,DUNK,2
,,,RUN,,0
,,,nee,,0
,,,HANDSCOMB,DUNK,2
,,,,DUNK,2
,,,,ae,0
16,0,,nee,,0
,,,,DUNK,2
,,,,,0
,,,eee,DUNK,2
,,,,DUNK,2
,,,,,0
,,,,,0
18,1,,,,0
18,1,,,,0
,,,,FOR,0
,,,tere,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
18,2,,aa,,0
,,,,,0
,,,PQUINEY,,0
,,,,,0
,,,RUN,,0
,,,,AVG,0
20,2,,SCORE,FIRST,0
,,,ce,,0
21,2,,Re,,0
,,,,,0
25,2,,,,0
,,,ee,sae,0
37,2,45,,,0
37,2,45,,,0
,,,,,0
38,2,,,,0
,,,,,0
,,29,,,0
,,,,MAXWELL,2
,,4,QUINEY,,0
,,,MAXWELL,RUNS,0
45,2,,ic,,0
,,,,,0
,,,PQUINEY,,0
,,,PQUINEY,,0
,,,,,0
,,,QUINEY,MAXWELL,2
48,2,,,MAXWELL,2
,,,,,0
,,,PQUINEY,,0
51,2,,,,0
,,,,MAXWELL,2
,,,,MAXWELL,2
,,,,,0
,,,ARUN,rr,0
52,2,,PQUINEY,MAXWELL,0
52,2,,ae,,0
53,2,,,Le,0
,,,,,0
,,,,MAXWELL,2
,,,RUN,,0
,,,LYON,AVG,0
,,,PQUINEY,,0
61,2,,PQUINEY,,0
62,2,,,,0
,,,aa,,0
,,,LYON,,0
,,,QUINEY,,0
65,2,,PQUINEY,,0
66,2,,PQUINEY,,0
66,2,,aD,,0
,,,PQUINEY,,0
,,,RUN,,0
,,,PQUINEY,,0
,,,PQUINEY,,0
,,,,,0
,,29,PQUINEY,,0
76,2,,ee,,0
,,,,,0
76,2,,PQUINEY,,0
,,,inMio,,0
82,2,,QUINEY,MAXWELL,2
,,,QUINEY,,0
,,,QUINEY,,0
86,2,,QUINEY,,0
86,2,,,,0
,,,QUINEY,ae,0
86,2,,Ul,,0
86,2,,QUINEY,MAXWELL,2
,,,QUINEY,,0
,,,,mes,0
,,38,,,0
91,2,,PQUINEY,,0
,,,PQUINEY,,0
95,2,,,,0
,,20,aes,,0
,,,QUINEY,,0
,,,QUINEY,MAXWELL,2
102,2,,ars,,0
102,2,,QUINEY,MAXWELL,2
103,2,,ae,MAXWELL,0
103,2,,PQUINEY,,0
104,2,,QUINEY,,0
104,2,,QUINEY,ee,0
104,2,,QUINEY,MAXWELL,2
104,2,,QUINEY,MAXWELL,2
107,2,,QUINEY,dea,0
107,2,,QUINEY,,0
,,,Gi,,0
107,2,,QUINEY,,0
,,,PQUINEY,,0
,,,RUN,Fe,0
,,,,MAXWELL,2
,,,,,0
,,,,,0
114,2,,ee,,0
116,2,,,,0
,,56,ae,FROM,0
,,,QUINEY,MAXWELL,2
,,,Uh,MAXWELL,2
,,,es,,0
121,2,,Lae,,0
121,2,,,,0
,,,QUINEY,MAXWELL,2
,,,,,0
122,2,,PQUINEY,,0
,,17,ae,,0
,,,ae,,0
,,,ae,,0
127,2,22,ae,MAXWELL,2
131,2,,BOUNDARIES,,0
,,,PQUINEY,,0
,,,,,0
137,3,,ame,,0
,,,,,0
137,3,,ame,,0
137,3,,,,0
138,3,,GOTCH,,0
138,3,,GOTCH,MAXWELL,2
140,3,,GOTCH,MAXWELL,2
,,,,,0
142,3,,GOTCH,,0
142,3,,,,0
142,4,,,,0
,,,,,0
142,4,,,,0
,,,,,0
,,,,MAXWELL,2
,,,FAULKNER,,0
147,4,,,,0
149,4,,FAULKNER,MAXWELL,2
,,,FAULKNER,,0
149,4,,FAULKNER,MAXWELL,2
151,4,,sie,aS,0
151,4,,,,0
,,,,,0
153,4,,FAULKNER,,0
154,4,,FAULKNER,,0
154,4,,ee,MAXWELL,2
,,,,,0
156,4,,to,Ye,0
,,,FRAVJELIEW,,0
156,4,,,,0
157,4,,FAULKNER,,0
